,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,New Mexico
25,New York
26,North Carolina
27,North Dakota
28,Ohio
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Dakota
34,Tennessee
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
